address,symbol,decimals,img,network
0x592244301CeA952d6daB2fdC1fE6bd9E53917306,iYFI,18,https://img.paraswap.network/token.png,1
0xEb029507d3e043DD6C87F2917C4E82B902c35618,sCOMP,18,https://img.paraswap.network/token.png,1
0x6345728B1ccE16E6f8C509950b5c84FFF88530d9,iCOMP,18,https://img.paraswap.network/token.png,1
0xD31533E8d0f3DF62060e94B3F1318137bB6E3525,sREN,18,https://img.paraswap.network/token.png,1
0x348C3c80c4F23574BC8cDF669A0Dc106a4E32BFf,iREN,18,https://img.paraswap.network/token.png,1
0x4f5fa8f2d12e5eb780f6082dd656c565c48e0f24,GUM,18,https://img.paraswap.network/token.png,1
0xa1faa113cbe53436df28ff0aee54275c13b40975,ALPHA,18,https://img.paraswap.network/token.png,1
0x888888888889c00c67689029d7856aac1065ec11,OPIUM,18,https://img.paraswap.network/token.png,1
0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f,SDT,18,https://img.paraswap.network/SDT.png,1
0x5bc25f649fc4e26069ddf4cf4010f9f706c23831,DUSD,18,https://img.paraswap.network/token.png,1
0x0E2EC54fC0B509F445631Bf4b91AB8168230C752,LINKUSD,18,https://img.paraswap.network/token.png,1
0x48759f220ed983db51fa7a8c0d2aab8f3ce4166a,cyUSDT,8,https://img.paraswap.network/token.png,1
0x76eb2fe28b36b3ee97f3adae0c69606eedb2a37c,cyUSDC,8,https://img.paraswap.network/token.png,1
0x8e595470ed749b85c6f7669de83eae304c2ec68f,cyDAI,8,https://img.paraswap.network/token.png,1
0xE95A203B1a91a908F9B9CE46459d101078c2c3cb,ankrETH,18,https://img.paraswap.network/token.png,1
0x8064d9Ae6cDf087b1bcd5BDf3531bD5d8C537a68,oBTC,18,https://img.paraswap.network/token.png,1
0x1c48f86ae57291f7686349f12601910bd8d470bb,USDK,18,https://img.paraswap.network/token.png,1
0x674C6Ad92Fd080e4004b2312b45f796a192D27a0,USDN,18,https://img.paraswap.network/token.png,1
0x1456688345527bE1f37E9e627DA0837D6f08C925,USDP,18,https://img.paraswap.network/token.png,1
0xa47c8bf37f92abed4a126bda807a7b7498661acd,UST,18,https://img.paraswap.network/token.png,1
0x3832d2F059E55934220881F831bE501D180671A7,renDOGE,8,https://img.paraswap.network/token.png,1
0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490,3CRV,18,https://img.paraswap.network/token.png,1
0x075b1bb99792c9e1041ba13afef80c91a1e70fb3,sbtcCRV,18,https://img.paraswap.network/token.png,1
0x798D1bE841a82a273720CE31c822C61a67a601C3,DIGG,9,https://img.paraswap.network/DIGG.png,1
0xfFffFffF2ba8F66D4e51811C5190992176930278,COMBO,18,https://img.paraswap.network/COMBO.png,1
0x0c63cae5fcc2ca3dde60a35e50362220651ebec8,stXEM,8,https://img.paraswap.network/stXEM.png,1
0xcae72a7a0fd9046cf6b165ca54c9e3a3872109e0,$ANRX,18,https://img.paraswap.network/token.png,1
0x3db6ba6ab6f95efed1a6e794cad492faaabf294d,LTO,8,https://img.paraswap.network/token.png,1
0x054f76beed60ab6dbeb23502178c52d6c5debe40,FIN,18,https://img.paraswap.network/token.png,1
0xa9d232cc381715ae791417b624d7c4509d2c28db,BSGS,18,https://img.paraswap.network/token.png,1
0xb34ab2f65c6e4f764ffe740ab83f982021faed6d,BSG,18,https://img.paraswap.network/token.png,1
